Objects_adapted:,Number in Plant Shop:,Number in Pipe Organ:,objects_lemmas:,auditory,gustatory,haptic,interoceptive,olfactory,visual,foot_leg,hand_arm,head,mouth,torso
Tickets,0.0,0.0,ticket,0.6,0.0,2.55,0.0,0.0,3.65,0.55,3.4,2.35,0.75,0.3
Machines,0.0,0.0,machine,3.35,0.1,2.75,0.05,0.25,4.3,1.833333333,2.611111111,2.055555556,1.166666667,1.444444444
Thresholds,3.0,2.0,threshold,0.736842105,0.052631579,1.473684211,0.684210526,0.105263158,2.736842105,1.526315789,1.578947368,2.210526316,0.578947368,0.894736842
Advertisement,8.0,4.0,advertisement,4.125,0.0,0.6875,0.0625,0.0,4.625,0.052631579,0.526315789,3.473684211,1.631578947,0.105263158
Artwork,7.0,1.0,artwork,1.25,0.125,1.6875,1.1875,0.1875,4.6875,0.095238095,2.095238095,3.904761905,0.666666667,0.285714286
Music,0.0,1.0,music,4.833333333,0.0,0.111111111,1.944444444,0.0,1.0,1.25,1.65,4.45,2.1,1.15
Instruments,0.0,1.0,instrument,4.5,0.111111111,3.5,0.5,0.166666667,4.111111111,0.727272727,3.090909091,1.909090909,1.590909091,0.772727273
Stalls,0.0,0.0,stall,2.15,0.0,1.15,1.1,0.75,3.8,0.952380952,0.857142857,1.857142857,1.333333333,0.714285714
Food,0.0,0.0,food,1.578947368,4.578947368,3.578947368,1.368421053,4.105263158,4.105263158,0.173913043,2.347826087,2.260869565,3.869565217,1.217391304
Drinks,0.0,0.0,drink,1.181818182,4.727272727,2.5,2.545454545,2.136363636,3.545454545,0.05,2.6,1.75,4.95,0.95
Cafés,0.0,0.0,cafe,2.333333333,2.384615385,1.205128205,0.512820513,3.153846154,3.923076923,1.157894737,1.526315789,3.052631579,3.105263158,1.315789474
Shops,1.0,0.0,shop,2.052631579,0.157894737,1.947368421,0.263157895,0.421052632,3.842105263,2.157894737,2.473684211,2.526315789,1.157894737,1.263157895
Stores,1.0,0.0,store,1.111111111,0.166666667,1.388888889,0.388888889,0.833333333,3.944444444,1.523809524,2.0,2.571428571,1.0,1.095238095
Maps,0.0,0.0,map,0.227272727,0.0,1.772727273,0.227272727,0.181818182,4.409090909,0.55,2.5,3.2,0.4,0.4
Signs,1.0,0.0,sign,0.764705882,0.117647059,1.470588235,0.529411765,0.352941176,4.294117647,0.411764706,3.705882353,3.058823529,1.176470588,0.823529412
Toilets,0.0,0.0,toilet,2.529411765,0.294117647,3.352941176,1.529411765,2.294117647,4.411764706,2.285714286,1.761904762,1.476190476,0.19047619,3.142857143
Lockers,0.0,0.0,locker,0.85,0.2,2.65,0.1,0.65,3.95,0.25,2.0,1.3,0.15,0.3
Chargers,0.0,0.0,charger,0.222222222,0.166666667,2.722222222,0.277777778,0.166666667,4.166666667,0.473684211,2.473684211,2.052631579,0.526315789,0.421052632
Clocks,0.0,0.0,clock,2.578947368,0.052631579,1.473684211,0.473684211,0.105263158,4.315789474,0.176470588,1.529411765,2.941176471,0.352941176,0.117647059
Timetables,0.0,0.0,timetable,1.277777778,0.0,0.166666667,0.666666667,0.0,4.111111111,0.666666667,1.0,2.555555556,1.055555556,0.555555556
Plants,1.0,0.0,plant,0.536585366,1.731707317,3.756097561,0.658536585,3.341463415,4.292682927,0.789473684,2.736842105,2.736842105,1.157894737,0.578947368
Fire Escapes,3.0,1.0,fire escape,0.8125,0.25,2.0625,0.5,0.5625,3.5,3.294117647,2.647058824,2.705882353,0.588235294,1.647058824
Barriers,0.0,0.0,barrier,0.625,0.0,3.25,0.375,0.0,4.3125,2.25,2.9,2.25,0.95,1.85
